Date,Open,High,Low,Close
9/18/19,45.197498,45.355,44.125,44.994999
9/19/19,45.055,45.240002,44.127499,44.235001
9/20/19,44.224998,44.462502,43.07,43.172501
9/21/19,44.224998,44.462502,43.07,43.172501
9/22/19,44.224998,44.462502,43.07,43.172501
9/23/19,43.174999,44.1675,43.137501,43.709999
9/24/19,44.025002,44.322498,42.775002,43.1325
9/25/19,43.127499,44.755001,42.677502,44.557499
9/26/19,44.459999,44.547501,43.822498,44.334999
9/27/19,43.915001,44.424999,42.330002,42.939999
9/28/19,43.915001,44.424999,42.330002,42.939999
9/29/19,43.915001,44.424999,42.330002,42.939999
9/30/19,43.200001,43.619999,42.884998,43.517502
10/1/19,43.75,45.25,43.452499,43.5
10/2/19,43.279999,43.400002,42.532501,43.259998
10/3/19,43.305,45.389999,43,45.327499
10/4/19,45.349998,45.787498,44.695,45.4925
10/5/19,45.349998,45.787498,44.695,45.4925
10/6/19,45.349998,45.787498,44.695,45.4925
10/7/19,46.145,47.084999,46.057499,46.0825
10/8/19,45.16,45.16,44.125,44.307499
10/9/19,45.080002,45.674999,44.790001,45.177502
10/10/19,45.154999,46.27,45.102501,45.7575
10/11/19,46.602501,47.334999,46.412498,46.497501
10/12/19,46.602501,47.334999,46.412498,46.497501
10/13/19,46.602501,47.334999,46.412498,46.497501
10/14/19,46.41,46.842499,46.0975,46.6325
10/15/19,47.540001,49.822498,47.400002,49.092499
10/16/19,48.75,49.805,48.4375,48.552502
10/17/19,49,49.452499,48.025002,48.572498
10/18/19,48.577499,48.904999,46.875,47.622501
10/19/19,48.577499,48.904999,46.875,47.622501
10/20/19,48.577499,48.904999,46.875,47.622501
10/21/19,48.240002,49.137501,48.049999,49.002499
10/22/19,49.575001,50.6325,48.825001,48.9025
10/23/19,48.077499,48.915001,47.7575,48.772499
10/24/19,49.1875,49.552502,48.845001,49.215
10/25/19,50.025002,51.345001,49.947498,51.134998
10/26/19,50.025002,51.345001,49.947498,51.134998
10/27/19,50.025002,51.345001,49.947498,51.134998
10/28/19,51.575001,52.224998,51.279999,51.697498
10/29/19,51.557499,51.622501,50.535,50.73
10/30/19,51,51.057499,50.064999,50.75
10/31/19,50.540001,50.75,49.452499,50.255001
11/1/19,49.900002,50.9725,49.647499,50.647499
11/2/19,49.900002,50.9725,49.647499,50.647499
11/3/19,49.900002,50.9725,49.647499,50.647499
11/4/19,51.462502,52.75,51.23,52.625
11/5/19,52.622501,52.884998,51.919998,52.4025
11/6/19,52.16,52.4175,51.0275,51.907501
11/7/19,52.7775,52.924999,51.634998,52.084999
11/8/19,51.915001,52.262501,51.537498,51.945
11/9/19,51.915001,52.262501,51.537498,51.945
11/10/19,51.915001,52.262501,51.537498,51.945
11/11/19,51.9375,52.2775,51.07,52.044998
11/12/19,52.43,52.965,52.077499,52.4025
