Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,0.321342,0.354454,0.316738,0.339055,0.339055,63274107
2019-09-19,0.336617,0.339221,0.312964,0.322373,0.322373,43456013
2019-09-20,0.323075,0.330448,0.315432,0.321350,0.321350,40369809
2019-09-21,0.321046,0.327033,0.314169,0.317157,0.317157,48926758
2019-09-22,0.317718,0.323292,0.297161,0.301100,0.301100,49507356
2019-09-23,0.301814,0.301949,0.267563,0.267563,0.267563,45784300
2019-09-24,0.269535,0.283312,0.188956,0.193541,0.193541,50165388
2019-09-25,0.194537,0.215381,0.193776,0.204924,0.204924,38941160
2019-09-26,0.203901,0.205003,0.171572,0.190370,0.190370,49563434
2019-09-27,0.190503,0.198134,0.178849,0.191485,0.191485,41059414
2019-09-28,0.191141,0.208818,0.188969,0.204118,0.204118,35505764
2019-09-29,0.204368,0.242681,0.198582,0.226822,0.226822,63293757
2019-09-30,0.226822,0.257704,0.215853,0.249653,0.249653,57957634
2019-10-01,0.251065,0.266498,0.229573,0.234435,0.234435,54047913
2019-10-02,0.234435,0.242426,0.222295,0.233527,0.233527,46753237
2019-10-03,0.232616,0.240979,0.223617,0.230503,0.230503,39746753
2019-10-04,0.230691,0.236480,0.224927,0.230510,0.230510,39072129
2019-10-05,0.230510,0.234840,0.220335,0.224540,0.224540,36662393
2019-10-06,0.223567,0.226966,0.213161,0.215211,0.215211,41375227
2019-10-07,0.214801,0.225182,0.208761,0.219839,0.219839,49251945
2019-10-08,0.219657,0.233692,0.216036,0.233692,0.233692,52663244
2019-10-09,0.233563,0.243647,0.228436,0.240245,0.240245,59881851
2019-10-10,0.240356,0.267663,0.232544,0.255471,0.255471,71847676
2019-10-11,0.254223,0.276968,0.253901,0.255221,0.255221,72716614
2019-10-12,0.255221,0.262062,0.246354,0.258006,0.258006,63681446
2019-10-13,0.258416,0.268964,0.247692,0.251536,0.251536,63666806
2019-10-14,0.251536,0.268627,0.247798,0.267856,0.267856,58972242
2019-10-15,0.267582,0.273767,0.246956,0.248558,0.248558,93405592
2019-10-16,0.248558,0.249378,0.226678,0.228662,0.228662,101398604
2019-10-17,0.230632,0.240424,0.228691,0.239405,0.239405,102887739
2019-10-18,0.239405,0.240976,0.220254,0.227178,0.227178,103673526
2019-10-19,0.226149,0.230036,0.223668,0.224819,0.224819,101559487
2019-10-20,0.224824,0.226954,0.213956,0.223964,0.223964,103428939
2019-10-21,0.225331,0.231187,0.223619,0.229572,0.229572,101976201
2019-10-22,0.228135,0.230201,0.221224,0.224373,0.224373,100693564
2019-10-23,0.223381,0.226647,0.200084,0.202086,0.202086,42468690
2019-10-24,0.203483,0.209218,0.201286,0.203908,0.203908,79044876
2019-10-25,0.203908,0.217965,0.201327,0.213100,0.213100,94789175
2019-10-26,0.213627,0.236137,0.211159,0.216062,0.216062,106291033
2019-10-27,0.216062,0.232348,0.208902,0.218714,0.218714,108681817
2019-10-28,0.218626,0.239487,0.217401,0.232733,0.232733,111314851
2019-10-29,0.232733,0.236435,0.224734,0.231964,0.231964,110758098
2019-10-30,0.232446,0.233021,0.207546,0.215561,0.215561,48416058
2019-10-31,0.216155,0.222996,0.209960,0.222128,0.222128,103217930
2019-11-01,0.222511,0.265565,0.218394,0.262008,0.262008,129875635
2019-11-02,0.259822,0.279429,0.255277,0.260560,0.260560,139835316
2019-11-03,0.261057,0.269613,0.245705,0.266931,0.266931,123088158
2019-11-04,0.266603,0.270259,0.256116,0.258805,0.258805,122831728
2019-11-05,0.258805,0.294419,0.248322,0.288673,0.288673,135073487
2019-11-06,0.288418,0.303100,0.282980,0.287842,0.287842,135433269
2019-11-07,0.287733,0.288311,0.267046,0.272504,0.272504,122412579
2019-11-08,0.272633,0.277983,0.248796,0.256504,0.256504,119448562
2019-11-09,0.256504,0.262135,0.252695,0.259089,0.259089,109359112
2019-11-10,0.259532,0.272734,0.257369,0.269813,0.269813,114838063
2019-11-11,0.269813,0.286194,0.258892,0.279880,0.279880,125805632
2019-11-12,0.280697,0.284634,0.263550,0.273554,0.273554,118822818
2019-11-13,0.272670,0.297326,0.271267,0.286881,0.286881,110070634
2019-11-14,0.290351,0.293389,0.279751,0.281491,0.281491,119857507
2019-11-15,0.281491,0.285721,0.265559,0.270874,0.270874,117140025
2019-11-16,0.271411,0.277557,0.265762,0.270113,0.270113,110695338
2019-11-17,0.270113,0.279112,0.268740,0.271641,0.271641,107838849
2019-11-18,0.271681,0.277689,0.252242,0.255987,0.255987,109620690
2019-11-19,0.257744,0.262107,0.237505,0.246842,0.246842,105684882
2019-11-20,0.246842,0.253365,0.239866,0.249792,0.249792,104577457
2019-11-21,0.249792,0.255470,0.233403,0.241305,0.241305,103547880
2019-11-22,0.241305,0.249257,0.206647,0.220356,0.220356,108075233
2019-11-23,0.220292,0.229108,0.211014,0.227139,0.227139,102274919
2019-11-24,0.226732,0.229110,0.207602,0.211774,0.211774,94349402
2019-11-25,0.211774,0.213754,0.190732,0.207887,0.207887,94920511
2019-11-26,0.207817,0.222868,0.204651,0.221621,0.221621,97895155
2019-11-27,0.216762,0.233926,0.214362,0.225623,0.225623,105633208
2019-11-28,0.225885,0.313464,0.221459,0.287681,0.287681,80117874
2019-11-29,0.287223,0.299351,0.273095,0.276539,0.276539,135836394
2019-11-30,0.280964,0.288636,0.264717,0.268963,0.268963,124152762
2019-12-01,0.268366,0.272196,0.247693,0.263036,0.263036,103782001
2019-12-02,0.266027,0.282018,0.260239,0.274679,0.274679,125518892
2019-12-03,0.274679,0.290513,0.272574,0.284073,0.284073,123437259
2019-12-04,0.283204,0.291232,0.267514,0.271370,0.271370,123356733
2019-12-05,0.270644,0.274067,0.256357,0.266315,0.266315,105942315
2019-12-06,0.267178,0.273762,0.258857,0.265688,0.265688,104939728
2019-12-07,0.267906,0.278122,0.262750,0.274426,0.274426,110285523
2019-12-08,0.274426,0.302797,0.274426,0.293999,0.293999,132699876
2019-12-09,0.293999,0.333493,0.292495,0.298059,0.298059,153444332
2019-12-10,0.297172,0.297595,0.268345,0.275121,0.275121,135244323
2019-12-11,0.275025,0.293969,0.274411,0.284876,0.284876,95317194
2019-12-12,0.285938,0.287863,0.271285,0.276600,0.276600,79427507
2019-12-13,0.277072,0.277560,0.270583,0.273655,0.273655,66629627
2019-12-14,0.273057,0.275036,0.252826,0.255372,0.255372,66643290
2019-12-15,0.255994,0.267084,0.252761,0.266729,0.266729,62080771
2019-12-16,0.266729,0.267951,0.245107,0.245329,0.245329,70448705
2019-12-17,0.245329,0.246931,0.218860,0.220191,0.220191,59909525
2019-12-18,0.219730,0.246790,0.218934,0.245779,0.245779,64867877
2019-12-19,0.246732,0.247482,0.228970,0.231194,0.231194,61037260
2019-12-20,0.231194,0.244646,0.225215,0.240631,0.240631,80216197
2019-12-21,0.240803,0.241609,0.232535,0.240987,0.240987,64725918
2019-12-22,0.240992,0.253725,0.239775,0.249273,0.249273,72054881
2019-12-23,0.249307,0.251571,0.238783,0.240793,0.240793,65563690
2019-12-24,0.240837,0.241490,0.233601,0.234056,0.234056,49696272
2019-12-25,0.234056,0.234367,0.228212,0.229873,0.229873,40346130
2019-12-26,0.229873,0.241014,0.229713,0.238972,0.238972,41835472
2019-12-27,0.239022,0.239022,0.225250,0.230055,0.230055,41088332
2019-12-28,0.230195,0.237510,0.229467,0.233757,0.233757,35448160
2019-12-29,0.233677,0.237507,0.232009,0.233668,0.233668,40574922
2019-12-30,0.233605,0.235820,0.226566,0.226746,0.226746,39453426
2019-12-31,0.226809,0.229011,0.215458,0.217530,0.217530,38809044
2020-01-01,0.217530,0.223514,0.216264,0.219938,0.219938,37144510
2020-01-02,0.220416,0.220779,0.211894,0.213518,0.213518,37545058
2020-01-03,0.214287,0.230026,0.214044,0.228098,0.228098,44675624
2020-01-04,0.228589,0.236382,0.225690,0.236382,0.236382,40304265
2020-01-05,0.235912,0.239903,0.230910,0.231657,0.231657,40157155
2020-01-06,0.231256,0.244297,0.230826,0.242145,0.242145,43263431
2020-01-07,0.242145,0.243708,0.229322,0.230930,0.230930,42565095
2020-01-08,0.230930,0.236171,0.226756,0.229909,0.229909,37068981
2020-01-09,0.229824,0.230194,0.222618,0.224520,0.224520,38074471
2020-01-10,0.223933,0.229474,0.220353,0.226330,0.226330,37994493
